time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco,el_price,consumption
2021-09-01 00:00:00+03:00,11.2,10.3,94.0,,,320.0,7.2,16.7,1012.6,2.0,0.09015999999999999,0.577
2021-09-01 01:00:00+03:00,10.7,9.6,93.0,,,320.0,7.2,13.0,1012.6,2.0,0.09251000000000001,0.594
2021-09-01 02:00:00+03:00,9.9,9.0,94.0,,,320.0,7.2,13.0,1012.2,2.0,0.0889,0.685
2021-09-01 03:00:00+03:00,10.0,8.4,90.0,,,330.0,7.2,13.0,1011.9,1.0,0.08735,1.016
2021-09-01 04:00:00+03:00,9.0,8.1,94.0,,,300.0,3.6,13.0,1011.4,2.0,0.08688,0.677
2021-09-01 05:00:00+03:00,9.3,8.8,97.0,,,300.0,7.2,13.0,1011.3,2.0,0.08843000000000001,0.673
2021-09-01 06:00:00+03:00,10.4,9.3,93.0,,,310.0,7.2,14.8,1011.3,2.0,0.09358,0.565
2021-09-01 07:00:00+03:00,10.7,9.6,93.0,,,310.0,7.2,16.7,1011.3,4.0,0.1187,0.385
2021-09-01 08:00:00+03:00,11.6,9.8,89.0,,,320.0,7.2,18.5,1011.2,2.0,0.13544,1.435
2021-09-01 09:00:00+03:00,12.8,9.8,82.0,,,320.0,10.8,20.4,1011.0,1.0,0.14072,1.494
2021-09-01 10:00:00+03:00,14.2,10.0,76.0,,,320.0,10.8,22.2,1010.7,2.0,0.13,0.361
2021-09-01 11:00:00+03:00,15.3,10.3,72.0,,,310.0,14.4,25.9,1010.9,2.0,0.11699,0.268
2021-09-01 12:00:00+03:00,16.4,10.3,67.0,,,290.0,14.4,25.9,1010.6,2.0,0.10975,0.25
2021-09-01 13:00:00+03:00,16.4,9.6,64.0,,,310.0,14.4,29.6,1010.4,2.0,0.10388,0.222
2021-09-01 14:00:00+03:00,15.6,7.4,58.0,,,330.0,14.4,31.5,1010.3,2.0,0.098,0.244
2021-09-01 15:00:00+03:00,16.5,7.2,54.0,,,300.0,14.4,31.5,1010.1,3.0,0.09498000000000001,0.211
2021-09-01 16:00:00+03:00,15.8,6.2,53.0,,,290.0,18.0,31.5,1010.1,2.0,0.09506,0.164
2021-09-01 17:00:00+03:00,14.4,4.1,50.0,,,300.0,14.4,29.6,1010.2,2.0,0.09761,1.1
2021-09-01 18:00:00+03:00,14.2,4.2,51.0,,,320.0,10.8,29.6,1010.2,2.0,0.11612,1.099
2021-09-01 19:00:00+03:00,14.2,5.8,57.0,,,310.0,10.8,27.8,1010.1,2.0,0.131,0.648
2021-09-01 20:00:00+03:00,12.1,5.9,66.0,,,300.0,10.8,24.1,1010.3,2.0,0.14590999999999998,0.474
2021-09-01 21:00:00+03:00,11.0,5.5,69.0,,,300.0,7.2,22.2,1010.7,3.0,0.14493,0.425
2021-09-01 22:00:00+03:00,10.7,5.7,71.0,,,290.0,7.2,18.5,1011.0,2.0,0.12576,0.761
2021-09-01 23:00:00+03:00,10.0,5.6,74.0,,,290.0,7.2,16.7,1011.1,2.0,0.11439,0.813
2021-09-02 00:00:00+03:00,9.6,5.6,76.0,,,330.0,10.8,16.7,1011.4,2.0,0.09431999999999999,0.254
2021-09-02 01:00:00+03:00,9.2,5.7,79.0,,,320.0,7.2,16.7,1011.8,2.0,0.09698999999999999,0.811
2021-09-02 02:00:00+03:00,9.1,6.2,82.0,,,300.0,7.2,16.7,1012.2,2.0,0.09477,0.685
2021-09-02 03:00:00+03:00,8.4,6.0,85.0,,,310.0,7.2,16.7,1012.5,3.0,0.09387999999999999,0.603
2021-09-02 04:00:00+03:00,8.0,6.1,88.0,,,310.0,7.2,16.7,1012.8,2.0,0.09225,0.638
2021-09-02 05:00:00+03:00,7.3,5.8,90.0,,,310.0,7.2,16.7,1013.2,2.0,0.09183,0.624
2021-09-02 06:00:00+03:00,7.2,5.5,89.0,,,300.0,7.2,16.7,1013.5,2.0,0.09862,1.394
2021-09-02 07:00:00+03:00,7.1,5.6,90.0,,,300.0,7.2,16.7,1013.7,1.0,0.12894,1.392
2021-09-02 08:00:00+03:00,8.3,5.9,85.0,,,320.0,7.2,18.5,1014.1,2.0,0.15,0.403
2021-09-02 09:00:00+03:00,9.7,6.2,79.0,,,320.0,10.8,22.2,1014.3,1.0,0.14637999999999998,0.345
2021-09-02 10:00:00+03:00,11.1,6.4,73.0,,,310.0,14.4,24.1,1014.6,2.0,0.1308,0.382
